,content
0,"안녕하십니까.
사건 당사자입니다. 진지하게 사죄드립니다...
지난 8월 14일 오후 8시경
저는 아무런 잘못도 하지 않았으며
이로 인해 트위터 이용자 분들 중 누구도 상처받지 않았습니다.
단지 갑자기 사과문을 작성을 하고 싶은 기분이 들어 사과문을 작성하려 합니다.
이에 머리 숙여 사과드립니다."
1,"@이거트훔하려고했는데
과연
내가아무런잘못을하지않았을까?
정말그누구도나한테상처받지않았을까?
하는마음에그만둠"
2,"Adhering to country-specific, evolving employment laws and tax regulations can make any company hesitant to begin their growth journey. That’s why we’re here to handle compliance worries for you."
3,"안녕하세요. 우수짅입니다. 진지하게 사죄드립니다. 지난 8월 17일 오후 9시경 저는 아무런 잘못도 하지 않았으며, 이로 인해 트위터 이용자 분들 중 누구도 상처받지 않았습니다. 단지 갑자기 사과문을 작성을 하고 싶은 기분이 들어 사과문을 작성하려 합니다.
이에 머리 숙여 사과드립니다."
4,"안녕하십니까.
사건 당사자입니다. 진지하게 사죄드립니다..
지난 8월 17일 오후 11시경
저는 아무런 잘못도 하지 않았으며
이로 인해 트위터 이용자 분들 중 누구도 상처받지 않았습니다.
단지 갑자기 사과문을 작성을 하고 싶은 기분이 들어 사과문을 작성하려 합니다.
이에 머리 숙여 사과드립니다."
5,아무런 잘못이 없는 민규 머리
6,"안녕하십니까.
사건 당사자입니다.
진지하게 사죄드립니다...
지난 8월 14일 오후 9시경
저는 아무런 잘못도 하지 않았으며
이로 인해 트위터 이용자 분들 중 누구도 상처받지 않았습니다.
단지 갑자기 사과문을 작성을 하고 싶은 기분이 들어 사과문을 작성하려 합니다.
이에 머리 숙여 사과드립니다."
7,"안녕하십니까.
사건 당사자입니다. 진지하게 사죄드립니다...
지난 8월 15일 오후 1시경
저는 아무런 잘못도 하지 않았으며
이로 인해 트위터 이용자 분들 중 누구도 상처받지 않았습니다.
단지 갑자기 사과문을 작성을 하고 싶은 기분이 들어 사과문을 작성하려 합니다.
이에 머리 숙여 사과드립니다."
8,안녕하십니까. 사건 당사자입니다. 진지하게 사죄드립니다... 지난 8월 14일 오후 8시경 저는 아무런 잘못도 하지 않았으며 이로 인해 트위터 이용자 분들 중 누구도 상처받지 않았습니다. 단지 갑자기 사과문을 작성을 하고 싶은 기분이 들어 사과문을 작성하려 합니다. 이에 머리 숙여 사과드립니다.
9,이렇게 아무런 잘못도 없고 깨끗하신 분인 줄은 몰랐는데... 안타깝고 실망이 안 큽니다. 그래도 반성은 안 하고 계신 듯 하니 앞으로도 지켜보겠습니다.
10,"안녕하십니까. 사건 당사자입니다.
진지하게 사죄드립니다...
지난 8월 14일 오후 8시경
저는 아무런 잘못도 하지 않았으며
이로 인해 트위터 이용자 분들 중 누구도 상처받지 않았습니다.
단지 갑자기 사과문을 작성을 하고 싶은 기분이 들어 사과문을 작성하려 합니다.
이에 머리 숙여 사과드립니다."
11,"안녕하십니까.
사건 당사자입니다. 진지하게 사죄드립니다...
지난 8월 14일 오후 11시경
저는 아무런 잘못도 하지 않았으며
이로 인해 트위터 이용자 분들 중 누구도 상처받지 않았습니다.
단지 갑자기 사과문을 작성을 하고 싶은 기분이 들어 사과문을 작성하려 합니다.
이에 머리 숙여 사과드립니다"
12,"The only real-time generative AI app for video chatting, live streaming, and video creation."
13,"안녕하십니까.
사건 당사자입니다. 진지하게 사죄드립니다...
지난 8월 17일 오후 9시경
저는 아무런 잘못도 하지 않았으며
이로 인해 트위터 이용자 분들 중 누구도 상처받지 않았습니다.
단지 갑자기 사과문을 작성을 하고 싶은 기분이 들어 사과문을 작성하려 합니다.
이에 머리 숙여 사과드립니다."
14,안녕하십니까. 사건 당사자입니다. 진지하게 사죄드립니다... 지난 8월 14일 오후 9시경 저는 아무런 잘못도 하지 않았으며 이로 인해 트위터 이용자 분들 중 누구도 상처받지 않았습니다. 단지 갑자기 사과문을 작성을 하고 싶은 기분이 들어 사과문을 작성하려 합니다. 이에 머리 숙여 사과드립니다.
15,전 아무런 잘못도 안 했어요
16,과연 이용자들은 아무런 잘못이 없을까요? 만든 사람들에게 항의나 법적인 대응 한번 안 했을까요? 알고도 타는 사람들이 있으니 저랬겠죠. 이런 논리를 계속 두루뭉술하게 적용하면 사리판단 이라는게 전혀 안 됩니다.
17,아무런 잘못도 없는 사람도 사과하는 세상인데 조슈아는 왜 안하지?
18,안녕하십니까. 사건 당사자입니다. 진지하게 사죄드립니다... 지난 8월 16일 오후 10시경 저는 아무런 잘못도 하지 않았으며 이로 인해 트위터 이용자 분들 중 누구도 상처받지 않았습니다. 단지 갑자기 사과문을 작성을 하고 싶은 기분이 들어 사과문을 작성하려 합니다. 이에 머리 숙여 사과드립니다
19,"압도적 박스오피스 1위!
#크리스토퍼놀란 감독 작품
 #오펜하이머 #절찬상영중"
20,"#오펜하이머 아이맥스로보고옴
역시 놀란감독영화는 아이맥스가진리
긍데 영화보면서 하하로 빙의됨ㅋㅋㅋ
진짜 등장인물이 끝도없이나오ㅏ
문과인 나는 더더욱모르는 과학자분들
아는분은 온리 아이슈타인ㅋㅋㅋ
과학보단 핵폭탄의아버지 
오펜하이머 인간연대기랄까.
#킬리언머피 연기지렸따"
21,"일본은 왜  #오펜하이머 개봉 안 하니? 

맙소사 ! 80년도 더 된 일을 기억하니? ㅋㅋ"
